lm_key,gearnet_layers,r,lora_dropout,early_stop_metric,train_layer,bias,patience,lr,gpu,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
facebook/esm2_t33_650M_UR50D,4,1,0,valid_mcc,33,all,5,0.001,1,0.4306,0.9949,0.9657,0.8232,0.5809,0.9291,0.0459,0.1203,0.645,9
facebook/esm2_t33_650M_UR50D,1,2,0,valid_mcc,33,all,5,0.001,1,0.5901,0.9874,0.9668,0.7184,0.6341,0.9208,0.0043,0.173,0.6509,16
facebook/esm2_t33_650M_UR50D,1,2,0,valid_mcc,33,all,5,0.001,0,0.5199,0.992,0.9675,0.7799,0.6213,0.9246,0.0034,0.179,0.6472,16
facebook/esm2_t33_650M_UR50D,2,2,0,valid_mcc,33,all,5,0.001,1,0.6268,0.9841,0.9656,0.6823,0.6359,0.9376,0.0205,0.1411,0.6395,11
facebook/esm2_t33_650M_UR50D,3,2,0,valid_mcc,33,all,5,0.001,1,0.5502,0.9909,0.9681,0.7684,0.6346,0.9337,0.0065,0.1798,0.6565,15
facebook/esm2_t33_650M_UR50D,2,2,0,valid_mcc,33,all,5,0.001,0,0.5566,0.9895,0.967,0.7426,0.6265,0.9261,0.0026,0.2056,0.6593,19
facebook/esm2_t33_650M_UR50D,4,2,0,valid_mcc,33,all,5,0.001,1,0.5423,0.9902,0.967,0.7506,0.6217,0.9289,0.0057,0.1931,0.6574,22
facebook/esm2_t33_650M_UR50D,3,2,0,valid_mcc,33,all,5,0.001,0,0.5789,0.9882,0.967,0.7289,0.6329,0.9322,0.0214,0.1357,0.6602,11
facebook/esm2_t33_650M_UR50D,1,2,0,valid_mcc,5,all,5,0.001,1,0.504,0.9926,0.9673,0.788,0.6149,0.9176,0.002,0.2238,0.6518,19
facebook/esm2_t33_650M_UR50D,4,2,0,valid_mcc,33,all,5,0.001,0,0.5646,0.9868,0.9649,0.6996,0.6105,0.9221,0.0167,0.1398,0.6536,13
facebook/esm2_t33_650M_UR50D,2,2,0,valid_mcc,5,all,5,0.001,1,0.5582,0.9898,0.9675,0.7495,0.6306,0.93,0.0016,0.25,0.653,22
facebook/esm2_t33_650M_UR50D,3,2,0,valid_mcc,5,all,5,0.001,1,0.5391,0.9889,0.9656,0.7269,0.6088,0.9421,0.0506,0.1076,0.6278,9
facebook/esm2_t33_650M_UR50D,1,2,0,valid_mcc,5,all,5,0.001,0,0.6459,0.9847,0.9671,0.6971,0.6538,0.93,0.0008,0.2132,0.651,20
