lm_key,r,lora_dropout,early_stop_metric,train_layer,bias,patience,lr,gpu,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
facebook/esm2_t33_650M_UR50D,8,0.0,valid_mcc,33,all,3,0.001,1,0.6188,0.9861,0.9671,0.7093,0.6455,0.9427,0.0547,0.095,0.6305,6
facebook/esm2_t33_650M_UR50D,8,0.0,valid_mcc,33,all,3,0.0005,1,0.5439,0.9885,0.9655,0.7209,0.6089,0.9375,0.0629,0.0948,0.6198,6
facebook/esm2_t33_650M_UR50D,8,0.0,valid_mcc,16,none,3,0.001,1,0.5933,0.9856,0.9653,0.6927,0.6231,0.9296,0.0174,0.1392,0.6333,9
facebook/esm2_t33_650M_UR50D,8,0.0,valid_mcc,16,none,3,0.0005,1,0.4705,0.9923,0.9653,0.7702,0.586,0.9339,0.0662,0.0975,0.6108,6
facebook/esm2_t33_650M_UR50D,8,0.0,valid_mcc,16,all,3,0.001,1,0.5518,0.99,0.9673,0.7505,0.6274,0.9378,0.0501,0.1003,0.6223,6
facebook/esm2_t33_650M_UR50D,8,0.0,valid_mcc,16,all,3,0.0005,1,0.4928,0.9908,0.965,0.7446,0.589,0.9238,0.063,0.0987,0.6093,6
facebook/esm2_t33_650M_UR50D,8,0.1,valid_bce,33,none,3,0.001,1,0.4418,0.9941,0.9655,0.8029,0.5805,0.947,0.0813,0.0941,0.6131,5
facebook/esm2_t33_650M_UR50D,8,0.1,valid_bce,33,none,3,0.0005,1,0.4992,0.9919,0.9664,0.7709,0.6045,0.9386,0.0641,0.096,0.6155,6
facebook/esm2_t33_650M_UR50D,8,0.1,valid_bce,33,all,3,0.001,1,0.4705,0.9925,0.9655,0.7743,0.5877,0.938,0.0817,0.0924,0.6119,5
facebook/esm2_t33_650M_UR50D,8,0.1,valid_bce,33,all,3,0.0005,1,0.5789,0.9861,0.9651,0.6954,0.6165,0.9494,0.0942,0.0984,0.5909,5
facebook/esm2_t33_650M_UR50D,8,0.1,valid_bce,16,none,3,0.001,1,0.445,0.9943,0.9659,0.811,0.5859,0.9404,0.0847,0.0951,0.6017,5
facebook/esm2_t33_650M_UR50D,8,0.1,valid_bce,16,none,3,0.0005,1,0.4466,0.9924,0.9642,0.7629,0.5674,0.9446,0.1007,0.0989,0.562,5
facebook/esm2_t33_650M_UR50D,8,0.1,valid_bce,16,all,3,0.001,1,0.5391,0.9895,0.9662,0.738,0.614,0.9452,0.0522,0.0977,0.6225,6
facebook/esm2_t33_650M_UR50D,8,0.1,valid_bce,16,all,3,0.0005,1,0.4657,0.9911,0.9639,0.7411,0.5705,0.9295,0.0635,0.1009,0.6039,6
facebook/esm2_t33_650M_UR50D,8,0.1,valid_mcc,33,none,3,0.001,1,0.4418,0.9948,0.9661,0.822,0.5881,0.9294,0.0503,0.1068,0.6267,6
facebook/esm2_t33_650M_UR50D,8,0.1,valid_mcc,33,none,3,0.0005,1,0.512,0.9915,0.9667,0.7679,0.6111,0.9323,0.0629,0.096,0.6142,6
facebook/esm2_t33_650M_UR50D,8,0.1,valid_mcc,33,all,3,0.001,1,0.5311,0.9901,0.9663,0.745,0.6125,0.9252,0.0382,0.1059,0.6434,7
facebook/esm2_t33_650M_UR50D,8,0.1,valid_mcc,33,all,3,0.0005,1,0.5598,0.9889,0.9667,0.7343,0.6244,0.9199,0.0205,0.1308,0.6275,9
facebook/esm2_t33_650M_UR50D,8,0.1,valid_mcc,16,none,3,0.001,1,0.5152,0.9907,0.966,0.7512,0.6056,0.9237,0.0112,0.1603,0.6303,10
facebook/esm2_t33_650M_UR50D,8,0.1,valid_mcc,16,none,3,0.0005,1,0.4402,0.9931,0.9645,0.7775,0.5692,0.9334,0.0681,0.1011,0.591,6
facebook/esm2_t33_650M_UR50D,8,0.1,valid_mcc,16,all,3,0.001,1,0.5582,0.9902,0.9678,0.7559,0.6336,0.9363,0.0514,0.0996,0.6347,6
facebook/esm2_t33_650M_UR50D,8,0.1,valid_mcc,16,all,3,0.0005,1,0.6124,0.9837,0.9645,0.6725,0.6232,0.918,0.0116,0.1596,0.6162,10
facebook/esm2_t33_650M_UR50D,1,0.0,valid_mcc,33,none,3,0.001,1,0.4801,0.9902,0.9638,0.7288,0.5742,0.9367,0.0485,0.1116,0.6041,7
facebook/esm2_t33_650M_UR50D,1,0.0,valid_mcc,33,none,3,0.0005,1,0.5375,0.9886,0.9652,0.7201,0.6047,0.9206,0.0223,0.1398,0.5883,10
facebook/esm2_t33_650M_UR50D,1,0.0,valid_mcc,33,all,3,0.001,1,0.547,0.9898,0.9669,0.7457,0.6223,0.9214,0.0329,0.1211,0.615,8
facebook/esm2_t33_650M_UR50D,1,0.0,valid_mcc,33,all,3,0.0005,1,0.547,0.987,0.9642,0.6972,0.5994,0.925,0.03,0.1182,0.6107,9
facebook/esm2_t33_650M_UR50D,1,0.0,valid_mcc,16,none,3,0.001,1,0.5486,0.9875,0.9648,0.7064,0.6047,0.9176,0.0275,0.1458,0.6011,9
facebook/esm2_t33_650M_UR50D,1,0.0,valid_mcc,16,none,3,0.0005,1,0.5008,0.9897,0.9644,0.7269,0.586,0.9217,0.0402,0.1169,0.5818,9
facebook/esm2_t33_650M_UR50D,1,0.0,valid_mcc,16,all,3,0.001,1,0.5534,0.9852,0.9628,0.6712,0.5903,0.9248,0.0292,0.1198,0.6009,8
facebook/esm2_t33_650M_UR50D,1,0.0,valid_mcc,16,all,3,0.0005,1,0.5215,0.9887,0.9645,0.7155,0.5932,0.9253,0.0226,0.1546,0.5823,10
