param_version,sensitivity,specificity,accuracy,precision,mcc,micro_auroc,train_bce,valid_bce,valid_mcc,epoch_count
8,0.5646,0.9875,0.9656,0.7123,0.6167,0.9291,0.0114,0.1392,0.6344,15
9,0.6746,0.972,0.9566,0.5685,0.5967,0.9352,0.0501,0.1206,0.6499,18
9,0.7273,0.9614,0.9493,0.5072,0.5821,0.941,0.1182,0.1255,0.6287,14
8,0.6699,0.978,0.9621,0.625,0.6271,0.9506,0.0828,0.1089,0.5924,12
8,0.3971,0.9948,0.9638,0.8058,0.5507,0.9304,0.0472,0.1276,0.6579,13
9,0.4848,0.9936,0.9672,0.8042,0.6096,0.9124,0.0223,0.1518,0.6462,26
8,0.4322,0.9953,0.9661,0.8338,0.5861,0.9304,0.0233,0.1641,0.6284,14
9,0.6762,0.9713,0.956,0.5623,0.5937,0.9386,0.0388,0.1499,0.6351,20
9,0.7703,0.9225,0.9146,0.3518,0.4842,0.9332,0.0766,0.1633,0.6172,16
8,0.5805,0.9888,0.9676,0.7383,0.6383,0.9225,0.0056,0.1514,0.6554,16
8,0.5534,0.9842,0.9619,0.6572,0.5834,0.9436,0.2142,0.112,0.5577,11
9,0.5789,0.9895,0.9683,0.7516,0.6437,0.9154,0.0301,0.1352,0.6511,25
8,0.4912,0.9924,0.9665,0.7797,0.6033,0.9421,0.0405,0.1087,0.6535,13
11,0.6411,0.9821,0.9645,0.6623,0.6329,0.921,0.039,0.146,0.658,19
10,0.5981,0.9901,0.9698,0.7669,0.662,0.937,0.0016,0.1789,0.6774,20
11,0.6587,0.9828,0.966,0.677,0.6499,0.9321,0.0353,0.1469,0.6501,21
10,0.5231,0.993,0.9687,0.8039,0.6338,0.9242,0.0053,0.175,0.6611,12
11,0.681,0.9744,0.9592,0.5922,0.6137,0.9389,0.056,0.1337,0.6553,15
10,0.5311,0.9925,0.9686,0.7947,0.6348,0.9149,0.0011,0.1905,0.6681,17
11,0.6778,0.9781,0.9626,0.6287,0.6331,0.9372,0.0435,0.1287,0.6499,18
11,0.6858,0.9719,0.9571,0.5718,0.6039,0.9378,0.0888,0.1167,0.6489,12
11,0.6954,0.9804,0.9656,0.6596,0.6591,0.9342,0.0409,0.1459,0.6485,19
10,0.5279,0.9926,0.9685,0.7957,0.6332,0.9116,0.002,0.2235,0.6739,27
10,0.5534,0.992,0.9693,0.7904,0.6465,0.9273,0.0022,0.1582,0.6835,13
11,0.614,0.9882,0.9688,0.739,0.6576,0.9215,0.0325,0.1538,0.6686,26
11,0.6667,0.9746,0.9587,0.5896,0.6053,0.9311,0.0731,0.1147,0.638,12
10,0.5566,0.9921,0.9695,0.7932,0.6497,0.9209,0.0036,0.1729,0.6619,13
12,0.6587,0.9822,0.9655,0.6694,0.6458,0.902,0.0282,0.1422,0.6632,35
13,0.681,0.9777,0.9623,0.6252,0.6327,0.9322,0.0214,0.1654,0.6652,30
12,0.6683,0.9705,0.9548,0.5528,0.5843,0.9287,0.0821,0.1122,0.6532,17
12,0.6268,0.9833,0.9648,0.6718,0.6304,0.9087,0.0387,0.1304,0.6597,24
13,0.6156,0.9854,0.9662,0.6968,0.6373,0.9104,0.0266,0.1709,0.6557,32
12,0.6826,0.9717,0.9567,0.5684,0.6004,0.92,0.0383,0.1546,0.663,33
13,0.7097,0.9719,0.9583,0.5794,0.6197,0.9488,0.0588,0.1265,0.6434,18
12,0.5965,0.9874,0.9671,0.7206,0.6387,0.936,0.0361,0.1237,0.6692,31
13,0.5726,0.9888,0.9673,0.7372,0.6332,0.9156,0.0391,0.1371,0.6629,27
